sessionID,seriesID,Latitude,Longitude,Manual Cluster
6,251,31.44985467,31.67042233,0
6,252,31.44987417,31.6705175,0
6,253,31.44989367,31.6706105,0
6,254,31.44991267,31.67070033,0
6,255,31.4499305,31.67079,0
6,256,31.44994933,31.67087967,0
6,257,31.44996917,31.67097233,0
6,258,31.4499885,31.67106567,0
6,259,31.4500095,31.6711615,0
6,260,31.45002967,31.67126067,0
6,261,31.45004917,31.671363,0
6,262,31.45006833,31.6714695,0
6,263,31.45008767,31.67157583,0
6,264,31.45010733,31.67168367,0
6,265,31.45012783,31.67179133,0
6,266,31.4501495,31.6718985,0
6,267,31.45017167,31.67200517,0
